fen,evaluation
r2q1rk1/ppp1bppp/3p4/3n4/4P3/5Q2/PPPB1PPP/R3R1K1 w - - 0 14,32
r2q1rk1/ppp1bppp/1n1p4/3N4/4P3/5Q2/PPPB1PPP/R3R1K1 b - - 3 13,31
r2q1rk1/ppp1bppp/3p4/3P4/8/5Q2/PPPB1PPP/R3R1K1 b - - 0 14,33
r2q1rk1/ppp2ppp/3p1b2/3P4/8/2B2Q2/PPP2PPP/R3R1K1 b - - 2 15,14
r2q1rk1/ppp2ppp/3p4/3P4/8/2b2Q2/PPP2PPP/R3R1K1 w - - 0 16,17
r2q1rk1/ppp2ppp/3p4/3P4/8/2Q5/PPP2PPP/R3R1K1 b - - 0 16,13
r2q1rk1/ppp2ppp/3p1b2/3P4/8/5Q2/PPPB1PPP/R3R1K1 w - - 1 15,39
r4rk1/pppq1ppp/3p4/3P4/8/2Q5/PPP2PPP/R3R1K1 w - - 1 17,21
r4rk1/pppq1ppp/3p4/3P4/8/2Q1R3/PPP2PPP/R5K1 b - - 2 17,0
5rk1/pppq1ppp/3p4/3P4/8/2Q1r3/PPP2PPP/4R1K1 w - - 0 19,0
5rk1/pppq1ppp/3p4/3P4/8/2Q1R3/PPP2PPP/6K1 b - - 0 19,0
4r1k1/pppq1ppp/3p4/3P4/8/2Q1R3/PPP2PPP/6K1 w - - 1 20,0
4r1k1/pppq1ppp/3p4/3P4/8/2Q1R2P/PPP2PP1/6K1 b - - 0 20,0
6k1/pppq1ppp/3p4/3P4/8/2Q1r2P/PPP2PP1/6K1 w - - 0 21,0
6k1/pppq1ppp/3p4/3P4/8/4Q2P/PPP2PP1/6K1 b - - 0 21,0
4rrk1/pppq1ppp/3p4/3P4/8/2Q1R3/PPP2PPP/R5K1 w - - 3 18,10
4rrk1/pppq1ppp/3p4/3P4/8/2Q1R3/PPP2PPP/4R1K1 b - - 4 18,20
6k1/pp1q1ppp/2Pp4/8/8/4Q2P/PPP2PP1/6K1 b - - 0 22,47
6k1/p2q1ppp/2pp4/8/2P5/4Q2P/PP3PP1/6K1 b - - 0 23,0
6k1/p2q1ppp/3p4/2p5/2P5/4Q2P/PP3PP1/6K1 w - - 0 24,0
6k1/p2q1ppp/3p4/2p5/2P5/P3Q2P/1P3PP1/6K1 b - - 0 24,0
6k1/3q1ppp/3p4/p1p5/2P5/P3Q2P/1P3PP1/6K1 w - - 0 25,0
6k1/3q1ppp/3p4/p1p5/2P5/P6P/1P1Q1PP1/6K1 b - - 1 25,0
6k1/2q2ppp/3p4/p1p5/2P5/P6P/1P1Q1PP1/6K1 w - - 2 26,0
6k1/2q2ppp/3p4/p1p5/2P5/P5PP/1P1Q1P2/6K1 b - - 0 26,0
6k1/2q2p1p/3p2p1/p1p5/2P5/P5PP/1P1Q1P2/6K1 w - - 0 27,0
6k1/2q2p1p/3p2p1/p1p5/2P4P/P5P1/1P1Q1P2/6K1 b - - 0 27,0
6k1/2q2p2/3p2p1/p1p4p/2P4P/P5P1/1P1Q1P2/6K1 w - - 0 28,0
6k1/2q2p2/3p2p1/p1p4p/2P4P/P1Q3P1/1P3P2/6K1 b - - 1 28,0
6k1/5p2/1q1p2p1/p1p4p/2P4P/P1Q3P1/1P3P2/6K1 w - - 2 29,0
6k1/5p2/1q1p2p1/p1p4p/2P4P/P1Q3P1/1P3P2/5K2 b - - 3 29,0
6k1/5p2/q2p2p1/p1p4p/2P4P/P1Q3P1/1P3P2/5K2 w - - 4 30,0
6k1/5p2/q2p2p1/p1p4p/2P4P/P1Q3P1/1P3P2/6K1 b - - 5 30,0
6k1/pp1q1ppp/3p4/2pP4/8/4Q2P/PPP2PP1/6K1 w - c6 0 22,17
6k1/p2q1ppp/2pp4/8/8/4Q2P/PPP2PP1/6K1 w - - 0 23,21
rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/5NP1/PP2PP1P/RNBQKB1R b KQkq - 0 4,32
rnbqkb1r/ppp2ppp/4pn2/8/2pP4/5NP1/PP2PP1P/RNBQKB1R w KQkq - 0 5,39
rnbqkb1r/ppp2ppp/4pn2/8/2pP4/5NP1/PP2PPBP/RNBQK2R b KQkq - 1 5,37
r1bqkb1r/ppp2ppp/2n1pn2/8/2pP4/5NP1/PP2PPBP/RNBQK2R w KQkq - 2 6,44
1rbqkb1r/ppp2ppp/2n1pn2/8/P1pP4/5NP1/1P2PPBP/RNBQ1RK1 b k - 0 7,0
r1bqkb1r/ppp2ppp/2n1pn2/8/2pP4/5NP1/PP2PPBP/RNBQ1RK1 b kq - 3 6,21
1rbqkb1r/ppp2ppp/2n1pn2/8/2pP4/5NP1/PP2PPBP/RNBQ1RK1 w k - 4 7,26
1rbqkb1r/1pp2ppp/p1n1pn2/8/P1pP4/5NP1/1P2PPBP/RNBQ1RK1 w k - 0 8,20
1rbqkb1r/1pp2ppp/p1n1pn2/P7/2pP4/5NP1/1P2PPBP/RNBQ1RK1 b k - 0 8,22
1rbqkb1r/2p2ppp/p1n1pn2/Pp6/2pP4/5NP1/1P2PPBP/RNBQ1RK1 w k b6 0 9,47
1rbqkb1r/5ppp/ppn1pn2/8/2pP1B2/5NP1/1P2PPBP/RN1Q1RK1 b k - 1 10,48
1rbqkb1r/2p2ppp/pPn1pn2/8/2pP4/5NP1/1P2PPBP/RNBQ1RK1 b k - 0 9,49
1rbqkb1r/5ppp/ppn1pn2/8/2pP4/5NP1/1P2PPBP/RNBQ1RK1 w k - 0 10,40
1rbqk2r/5ppp/ppnbpn2/4N3/2pP1B2/6P1/1P2PPBP/RN1Q1RK1 b k - 3 11,44
1rbqk2r/5ppp/ppnbpn2/8/2pP1B2/5NP1/1P2PPBP/RN1Q1RK1 w k - 2 11,34
1rbq1rk1/4nppp/pp1bpn2/4N3/2pPPB2/6P1/1P3PBP/RN1Q1RK1 w - - 1 13,-68
1rbqk2r/4nppp/pp1bpn2/4N3/2pP1B2/6P1/1P2PPBP/RN1Q1RK1 w k - 4 12,42
1rbqk2r/4nppp/pp1bpn2/4N3/2pPPB2/6P1/1P3PBP/RN1Q1RK1 b k - 0 12,-44
1rbq1rk1/4nppp/pp1bpn2/4N1B1/2pPP3/6P1/1P3PBP/RN1Q1RK1 b - - 2 13,-75
1rbq1rk1/4nppp/p2bpn2/1p2N1B1/2pPP3/6P1/1P3PBP/RN1Q1RK1 w - - 0 14,-76
1r1q1rk1/1b2nppp/p2bpn2/1p2N1B1/2pPP3/2N3P1/1P3PBP/R2Q1RK1 w - - 2 15,-26
1rbq1rk1/4nppp/p2bpn2/1p2N1B1/2pPP3/2N3P1/1P3PBP/R2Q1RK1 b - - 1 14,-76
1r1q1rk1/1b2nppp/p2bpB2/1p2N3/2pPP3/2N3P1/1P3PBP/R2Q1RK1 b - - 0 15,-12
1r1q1rk1/1b2np1p/p2bpp2/1p6/2pPP1N1/2N3P1/1P3PBP/R2Q1RK1 b - - 1 16,-12
1r1q1rk1/1b2np1p/p2bpp2/1p2N3/2pPP3/2N3P1/1P3PBP/R2Q1RK1 w - - 0 16,0
1r1q1rk1/1b3p1p/p2bppn1/1p6/2pPP1NP/2N3P1/1P3PB1/R2Q1RK1 b - - 0 17,-99
1r1q1rk1/1b3p1p/p2bppn1/1p6/2pPP1N1/2N3P1/1P3PBP/R2Q1RK1 w - - 2 17,-14
1r1q1rk1/1b3p1p/p2bp1n1/5p2/1ppPP1NP/6P1/1P2NPB1/R2Q1RK1 w - - 0 19,-12
1r1q1rk1/1b3p1p/p2bppn1/8/1ppPP1NP/2N3P1/1P3PB1/R2Q1RK1 w - - 0 18,-22
1r1q1rk1/1b3p1p/p2bp1n1/5P2/1ppP2NP/6P1/1P2NPB1/R2Q1RK1 b - - 0 19,0
1r1q1rk1/5p1p/p2bp1n1/5P2/1ppP2NP/6P1/1P2NPK1/R2Q1R2 b - - 0 20,0
1r1q1rk1/5p1p/p2bp1n1/5P2/1ppP2NP/6P1/1P2NPb1/R2Q1RK1 w - - 0 20,-5
1r1q1rk1/1b3p1p/p2bppn1/8/1ppPP1NP/6P1/1P2NPB1/R2Q1RK1 b - - 1 18,-19
1r1q1rk1/5p1p/p2b2nN/5p2/1ppP3P/6P1/1P2NPK1/R2Q1R2 b - - 1 21,-1
1r1q1rk1/5p1p/p2b2n1/5p2/1ppP2NP/6P1/1P2NPK1/R2Q1R2 w - - 0 21,0
3q1r1k/5p1p/p2b2n1/1r3N2/1ppP3P/6P1/1P2NPK1/R2Q1R2 w - - 1 23,0
1r1q1r1k/5p1p/p2b2n1/5N2/1ppP3P/6P1/1P2NPK1/R2Q1R2 b - - 0 22,0
3q1r1k/5p1p/p2b2n1/1r1P1N2/1pp4P/6P1/1P2NPK1/R2Q1R2 b - - 0 23,0
1r1q1r1k/5p1p/p2b2nN/5p2/1ppP3P/6P1/1P2NPK1/R2Q1R2 w - - 2 22,-4
3q1r1k/5p1p/p5n1/1r1PbN2/1pp4P/6P1/1P2NPK1/R2Q1R2 w - - 1 24,0
3q1r1k/5p1p/p5n1/1r1PbN1P/1pp5/6P1/1P2NPK1/R2Q1R2 b - - 0 24,-33
3q1r1k/4np1p/p7/1r1PbN1P/1pp5/6P1/1P2NPK1/R2Q1R2 w - - 1 25,-27
3q1r1k/4Np1p/p7/1r1Pb2P/1pp5/6P1/1P2NPK1/R2Q1R2 b - - 0 25,-28
5r1k/4qp1p/p7/1r1Pb2P/1pp5/6P1/1P2NPK1/R2Q1R2 w - - 0 26,-26
2r4k/4qp1p/p7/1r1Pb2P/1pp5/6P1/1PQ1NPK1/R4R2 w - - 2 27,-6
3r3k/4qp1p/p7/1r1PbQ1P/1pp5/6P1/1P2NPK1/R4R2 w - - 4 28,0
3r3k/4qp1p/R7/1r1PbQ1P/1pp5/6P1/1P2NPK1/5R2 b - - 0 28,0
3r3k/4qp1p/R7/3rbQ1P/1pp5/6P1/1P2NPK1/5R2 w - - 0 29,0
5r1k/4qp1p/p7/1r1Pb2P/1pp5/6P1/1PQ1NPK1/R4R2 b - - 1 26,-19
3r3k/4qp1p/R7/3r1Q1P/1pp2b2/6P1/1P3PK1/5R2 w - - 0 30,0
3r3k/4qp1p/R7/3r3P/1pp2Q2/6P1/1P3PK1/5R2 b - - 0 30,0
3r3k/4qp1p/R7/3rbQ1P/1pp2N2/6P1/1P3PK1/5R2 b - - 1 29,0
2r4k/4qp1p/p7/1r1PbQ1P/1pp5/6P1/1P2NPK1/R4R2 b - - 3 27,-4
3r3k/4qp1p/R7/7r/1pp2Q2/6P1/1P3PK1/5R2 w - - 0 31,3
3r3k/3q1p1p/R7/7r/1pQ5/6P1/1P3PK1/5R2 w - - 1 32,-360
3r3k/3q1p1p/R7/7r/1pQ3P1/8/1P3PK1/5R2 b - - 0 32,-349
3r4/1pqbkp2/p3pr2/n3P2B/7Q/2P5/P1P3PP/3R1R1K b - - 0 25,526
3r3k/4qp1p/R7/7r/1pQ5/6P1/1P3PK1/5R2 b - - 0 31,-365
3r3k/3q1p1p/R7/8/1pQ3r1/6K1/1P3P2/5R2 w - - 0 34,-318
3r3k/3q1p1p/R7/8/1p4Q1/6K1/1P3P2/5R2 b - - 0 34,-366
3r3k/5p1p/R7/8/1p4Q1/3q2K1/1P3P2/5R2 w - - 1 35,-352
3r3k/3q1p1p/R7/8/1pQ3Pr/8/1P3PK1/5R2 w - - 1 33,-411
3r3k/5p1p/q7/8/1p4Q1/8/1P3P1K/5R2 w - - 0 36,-360
3r3k/3q1p1p/R7/8/1pQ3Pr/6K1/1P3P2/5R2 b - - 2 33,-379
3r3k/5p1p/q7/8/1p5Q/8/1P3P1K/5R2 b - - 1 36,-600
7k/5p1p/q6r/8/1Q6/8/1P3P1K/5R2 w - - 1 38,-614
7k/5p1p/q6r/8/1Q6/8/1P3PK1/5R2 b - - 2 38,M-10
7k/5p1p/6qr/8/1Q6/8/1P3PK1/5R2 w - - 3 39,M-9
7k/5p1p/6qr/8/1Q6/5K2/1P3P2/5R2 b - - 4 39,M-7
7k/5p1p/7r/8/1Q6/3q1K2/1P3P2/5R2 w - - 5 40,M-6
7k/5p1p/q2r4/8/1Q6/8/1P3P1K/5R2 b - - 0 37,-617
rn1qkbnr/pp2pppp/2p5/5b2/3PN3/8/PPP2PPP/R1BQKBNR w KQkq - 1 5,26
3r3k/5p1p/R7/8/1p4Q1/3q4/1P3P1K/5R2 b - - 2 35,-406
rn1qkbnr/pp2pppp/2p5/2N2b2/3P4/8/PPP2PPP/R1BQKBNR b KQkq - 2 5,0
rn1qkbnr/p3pppp/1pp5/2N2b2/3P4/8/PPP2PPP/R1BQKBNR w KQkq - 0 6,11
7k/5p1p/q2r4/8/1p5Q/8/1P3P1K/5R2 w - - 2 37,-650
rn1qkbnr/p4ppp/1pp1p3/5b2/3P4/1N3N2/PPP2PPP/R1BQKB1R b KQkq - 1 7,16
rn1qkbnr/p4ppp/1pp1p3/5b2/3P4/1N6/PPP2PPP/R1BQKBNR w KQkq - 0 7,14
rn1qkbnr/p3pppp/1pp5/5b2/3P4/1N6/PPP2PPP/R1BQKBNR b KQkq - 1 6,17
rn1qk1nr/p4ppp/1ppbp3/5b2/3P4/1N3N2/PPP2PPP/R1BQKB1R w KQkq - 2 8,47
rn1qk2r/p3nppp/1ppbp3/5b2/3P4/1N3NP1/PPP2P1P/R1BQKB1R w KQkq - 1 9,31
rn1qk2r/p3npp1/1ppbp2p/5b2/3P4/1N3NP1/PPP1QPBP/R1B1K2R b KQkq - 1 10,16
rn1qk2r/p3nppp/1ppbp3/5b2/3P4/1N3NP1/PPP2PBP/R1BQK2R b KQkq - 2 9,32
rn1qk1nr/p4ppp/1ppbp3/5b2/3P4/1N3NP1/PPP2P1P/R1BQKB1R b KQkq - 0 8,12
r2qk2r/p2nnpp1/1ppbp2p/5b2/3P4/1N3NP1/PPP1QPBP/R1B1K2R w KQkq - 2 11,32
rn1qk2r/p3npp1/1ppbp2p/5b2/3P4/1N3NP1/PPP2PBP/R1BQK2R w KQkq - 0 10,43
r2qk2r/p2nnpp1/1ppbp2p/4Nb2/3P4/1N4P1/PPP1QPBP/R1B1K2R b KQkq - 3 11,24
2rqk2r/p2nnpp1/1ppbp2p/4Nb2/3P4/1N4P1/PPP1QPBP/R1B1K2R w KQk - 4 12,17
2rqk2r/p2nnpp1/1ppbp2p/4Nb2/3P4/1N4P1/PPP1QPBP/R1B2RK1 b k - 5 12,11
2rq1rk1/p2nnpp1/1ppbp2p/4Nb2/3P4/1N4P1/PPP1QPBP/R1B2RK1 w - - 6 13,38
1brq1rk1/p2nnpp1/1pp1p2p/4Nb2/2PP4/1N4P1/PP2QPBP/R1BR2K1 b - - 0 14,10
2rq1rk1/p2nnpp1/1ppbp2p/4Nb2/3P4/1N4P1/PPP1QPBP/R1BR2K1 b - - 7 13,17
1brq1rk1/p2nnpp1/1pp1p2p/4Nb2/3P4/1N4P1/PPP1QPBP/R1BR2K1 w - - 8 14,11
1br1qrk1/p2nnpp1/1pp1p2p/4Nb2/2PP4/1N4P1/PP1BQPBP/R2R2K1 b - - 2 15,26
3r4/1pqbkp2/p3pr2/n3p2B/5P1Q/2P5/P1P3PP/3R1R1K w - - 0 25,525
1br1qrk1/p3npp1/1p2p2p/2p1Pb2/2P5/1N4P1/PP1BQPBP/R2R2K1 w - - 0 17,20
1br1qrk1/p3npp1/1pp1p2p/4Pb2/2P5/1N4P1/PP1BQPBP/R2R2K1 b - - 0 16,26
1b1rqrk1/p3npp1/1p2p2p/2p1Pb2/2P5/1NB3P1/PP2QPBP/R2R2K1 w - - 2 18,22
1br1qrk1/p3npp1/1p2p2p/2p1Pb2/2P5/1NB3P1/PP2QPBP/R2R2K1 b - - 1 17,43
1b1rqrk1/p3npp1/1p2p2p/2p1Pb2/2P2P2/1NB3P1/PP2Q1BP/R2R2K1 b - - 0 18,17
1br1qrk1/p3npp1/1pp1p2p/4nb2/2PP4/1N4P1/PP1BQPBP/R2R2K1 w - - 0 16,13
1b1r1rk1/p3npp1/1p2p2p/2p1Pb2/q1P2P2/1NB3P1/PP2Q1BP/R2R2K1 w - - 1 19,20
1br1qrk1/p2nnpp1/1pp1p2p/4Nb2/2PP4/1N4P1/PP2QPBP/R1BR2K1 w - - 1 15,34
1b1r1rk1/p3npp1/1p2p2p/2p1Pb2/q1P2P2/2B3P1/PP1NQ1BP/R2R2K1 b - - 2 19,50
1b1r1rk1/p3npp1/1p2p2p/2p1P3/q1P2P2/2B3P1/PPbNQ1BP/R2R2K1 w - - 3 20,33
1b1r1rk1/p3npp1/1p2p2p/2p1P3/q1P2P2/2B3P1/PPbNQ1BP/R3R1K1 b - - 4 20,24
1b1r1rk1/p3npp1/1p2p2p/2p1P3/q1P2P2/2Bb2P1/PP1NQ1BP/R3R1K1 w - - 5 21,21
1b1r1rk1/p3nppb/qp2p2p/2p1P3/2P2P2/1PB3P1/P2N1QBP/R3R1K1 w - - 1 23,51
1b1r1rk1/p3npp1/1p2p2p/2p1P3/q1P2P2/2Bb2P1/PP1N1QBP/R3R1K1 b - - 6 21,32
1b1r1rk1/p3nppb/1p2p2p/2p1P3/q1P2P2/2B3P1/PP1N1QBP/R3R1K1 w - - 7 22,64
1b1r1rk1/p3nppb/qp2p2p/2p1P3/2P1NP2/1PB3P1/P4QBP/R3R1K1 b - - 2 23,33
1b1r1rk1/p3nppb/1p2p2p/2p1P3/q1P2P2/1PB3P1/P2N1QBP/R3R1K1 b - - 0 22,31
1b3rk1/p2rnppb/qp2p2p/2p1P3/2P1NP2/1PB3P1/P4QBP/3RR1K1 b - - 4 24,40
1b1r2k1/p2rnppb/qp2p2p/2p1P3/2P1NP2/1PB3P1/P3Q1BP/3RR1K1 b - - 6 25,22
1b1r2k1/p2r1ppb/qp2p2p/2p1Pn2/2P1NPP1/1PB5/P3Q1BP/3RR1K1 b - - 0 26,0
1b1r2k1/p2r1ppb/qp2p2p/2p1P3/2PnNPP1/1PB5/P3Q1BP/3RR1K1 w - - 1 27,0
1b1r2k1/p2r1ppb/qp2p2p/2p1Pn2/2P1NP2/1PB3P1/P3Q1BP/3RR1K1 w - - 7 26,30
1b1r2k1/p2r1ppb/qp2p2p/2p1P3/2PnNPP1/1PB5/P4QBP/3RR1K1 b - - 2 27,-12
1b3rk1/p2rnppb/qp2p2p/2p1P3/2P1NP2/1PB3P1/P4QBP/R3R1K1 w - - 3 24,63
1bqr2k1/p2r1ppb/1p2p2p/2p1P3/2PnNPP1/1PB5/P2R1QBP/4R1K1 b - - 4 28,6
1b1r2k1/p2rnppb/qp2p2p/2p1P3/2P1NP2/1PB3P1/P4QBP/3RR1K1 w - - 5 25,48
1bqr2k1/p2r1ppb/1pn1p2p/2p1P3/2P1NPP1/1PB5/P2R1QBP/4R1K1 w - - 5 29,23
1bqr2k1/p2r1ppb/1pn1p2p/2p1P3/2P1NPP1/1PB5/P2R1QBP/3R2K1 b - - 6 29,1
1bqr2k1/p4ppb/1pn1p2p/2p1P3/2P1NPP1/1PB5/P2r1QBP/3R2K1 w - - 0 30,0
1bq3k1/p4ppb/1pn1p2p/2p1P3/2P1NPP1/1PB5/P2r1QBP/6K1 w - - 0 31,14
1bqr2k1/p4ppb/1pn1p2p/2p1P3/2P1NPP1/1PB5/P2R1QBP/6K1 b - - 0 30,28
1bqr2k1/p2r1ppb/1p2p2p/2p1P3/2PnNPP1/1PB5/P4QBP/3RR1K1 w - - 3 28,20
1bq3k1/p4ppb/1pn1p2p/2p1P3/2P1NPP1/1PB5/P2Q2BP/6K1 b - - 0 31,4
1bq3k1/p3nppb/1p2p2p/2p1P3/2P1NPP1/1PB5/P2Q2BP/6K1 w - - 1 32,35
1bq3k1/p3nppb/1p2p2p/2p1P3/2P1NPP1/1PB4P/P2Q2B1/6K1 b - - 0 32,22
2q3k1/p1b1nppb/1p2p2p/2p1P3/2P1NPP1/1PB4P/P2Q2B1/6K1 w - - 1 33,72
2q3k1/p1b1nppb/1p2p2p/2p1P3/2P1NPP1/1PB4P/P2Q1KB1/8 b - - 2 33,24
2q3k1/2b1nppb/1p2p2p/p1p1P3/2P1NPP1/PPB4P/3Q1KB1/8 b - - 0 34,13
2q3k1/2b1nppb/1p2p2p/p1p1P3/2P1NPP1/1PB4P/P2Q1KB1/8 w - - 0 34,35
2q3k1/2b1npp1/1p1Np1bp/p1p1P3/2P2PP1/PPB4P/3Q1KB1/8 b - - 2 35,54
3q2k1/2b1npp1/1p1Np1bp/p1p1P3/2P2PP1/PPB4P/3Q1KB1/8 w - - 3 36,19
3q2k1/2b1npp1/1p2p1b1/pNp1P2p/2P2PP1/PPB4P/3QK1B1/8 b - - 1 37,26
2q3k1/2b1npp1/1p2p1bp/p1p1P3/2P1NPP1/PPB4P/3Q1KB1/8 w - - 1 35,38
3q2k1/2b1npp1/1p1Np1bp/p1p1P3/2P2PP1/PPB4P/3QK1B1/8 b - - 4 36,7
6k1/2b1npp1/1p2p1b1/pNp1P2p/2P2PP1/PP5P/3BK1B1/8 b - - 0 38,15
3q2k1/2b1npp1/1p1Np1b1/p1p1P2p/2P2PP1/PPB4P/3QK1B1/8 w - - 0 37,12
6k1/2b1npp1/1p2p1b1/pNp1P2p/2P2PP1/PPB4P/3qK1B1/8 w - - 0 38,3
3b2k1/4npp1/1p2p1b1/pNp1P2p/2P2PP1/PP5P/3BK1B1/8 w - - 1 39,20
3b2k1/4npp1/1p2p1b1/pNp1P2p/1PP2PP1/P6P/3BK1B1/8 b - - 0 39,9
3b2k1/4npp1/1p2p1b1/1Np1P2p/1pP2PP1/P6P/3BK1B1/8 w - - 0 40,25
3b2k1/4npp1/1p2p1b1/1N2P2p/1pP2PP1/7P/3BK1B1/8 w - - 0 41,8
3b2k1/4npp1/1p2p1b1/1Np1P2p/1PP2PP1/7P/3BK1B1/8 b - - 0 40,7
3b2k1/4npp1/1p1Np3/4P3/1BP2PP1/8/2b1K1B1/8 b - - 2 43,0
3b2k1/4npp1/1p2p1b1/1N2P3/1BP2Pp1/7P/4K1B1/8 w - - 0 42,3
3b2k1/5pp1/1p1Np1n1/4P3/1BP2PP1/4K3/2b3B1/8 b - - 4 44,0
3b2k1/4npp1/1p2p1b1/1N2P2p/1BP2PP1/7P/4K1B1/8 b - - 0 41,14
6k1/4bpp1/1p1Np1n1/4P3/1BP2PP1/4K3/2b3B1/8 w - - 5 45,3
3b2k1/5pp1/1p1Np1n1/4P3/1BP2PP1/8/2b1K1B1/8 w - - 3 44,0
3b2k1/4npp1/1p2p3/1N2P3/1BP2PP1/8/2b1K1B1/8 w - - 1 43,5
6k1/4bpp1/1p1Np1n1/4P3/2P2PP1/2B1K3/2b3B1/8 b - - 6 45,9
6k1/4b1p1/1p1Nppn1/4P3/2P2PP1/2B1K3/2b3B1/8 w - - 0 46,20
6k1/4b1p1/1p1Nppn1/4P3/2P1KPP1/2B5/8/8 b - - 0 47,17
6k1/4b1p1/1p1Np1n1/4B3/2P1KPP1/8/8/8 b - - 0 48,18
6k1/4b1p1/1p1Nppn1/4P3/2P1bPP1/2B1K3/8/8 w - - 0 47,7
3b2k1/4npp1/1p2p1b1/1N2P3/1BP2PP1/8/4K1B1/8 b - - 0 42,17
6k1/4b1p1/1p1Np1n1/4p3/2P1KPP1/2B5/8/8 w - - 0 48,12
6k1/4b1p1/1p1Nppn1/4P3/2P1BPP1/2B1K3/2b5/8 b - - 1 46,12
5nk1/4b1p1/1p1Np3/4BP2/2P1K1P1/8/8/8 b - - 0 49,7
5nk1/4b1p1/1p1Np3/4B3/2P1KPP1/8/8/8 w - - 1 49,12
5nk1/4b1p1/1p6/4BN2/2P1K1P1/8/8/8 b - - 0 50,1
5nk1/2B3p1/1p3b2/5N2/2P1K1P1/8/8/8 b - - 2 51,2
5nk1/6p1/1p3b2/4BN2/2P1K1P1/8/8/8 w - - 1 51,1
6k1/2Bn2p1/1p1N1b2/8/2P1K1P1/8/8/8 b - - 4 52,0
6k1/2Bn2p1/1p1N4/5K2/2P3Pb/8/8/8 b - - 6 53,0
6k1/2Bn2p1/1p1N4/8/2P1K1Pb/8/8/8 w - - 5 53,0
6k1/2Bn2p1/1p1N4/5KP1/2P5/8/5b2/8 b - - 0 54,0
6k1/2Bn2p1/1p3b2/5N2/2P1K1P1/8/8/8 w - - 3 52,3
5nk1/4b1p1/1p1N4/4Bp2/2P1K1P1/8/8/8 w - - 0 50,14
5k2/2Bn2p1/1p1N4/5KP1/2P5/8/5b2/8 w - - 1 55,502
6k1/2Bn2p1/1p1N4/5K2/2P3P1/8/5b2/8 w - - 7 54,114
5k2/2Bn2p1/1p6/5KP1/2P1N3/8/5b2/8 b - - 2 55,505
5k2/2Bn2p1/1p6/5KP1/2P1N3/4b3/8/8 w - - 3 56,583
5k2/2Bn2p1/1p2K3/6P1/2P1N3/4b3/8/8 b - - 4 56,617
5k2/2B3p1/1p2K3/2n3P1/2P1N3/4b3/8/8 w - - 5 57,708
5k2/2B3p1/1p2K3/2N3P1/2P5/4b3/8/8 b - - 0 57,719
5k2/2B3p1/4K3/2p3P1/2P5/4b3/8/8 w - - 0 58,1029
6k1/6p1/3BK1P1/2p5/2P5/4b3/8/8 b - - 2 59,3444
6k1/6p1/3B2P1/2pK4/2P5/4b3/8/8 w - - 5 61,M27
6k1/6p1/6P1/2BK4/2P5/4b3/8/8 b - - 0 61,7311
6k1/2B3p1/4K1P1/2p5/2P5/4b3/8/8 w - - 1 59,8115
6k1/6p1/3BK1P1/2p5/2P5/8/5b2/8 w - - 3 60,M23
5k2/2B3p1/4K1P1/2p5/2P5/4b3/8/8 b - - 0 58,3503
6k1/6p1/6P1/3K4/2PB4/8/3b4/8 b - - 2 62,M19
7k/6p1/6P1/3KB3/1bP5/8/8/8 w - - 5 64,M13
7k/6p1/3B2P1/3K4/1bP5/8/8/8 b - - 6 64,M12
6k1/6p1/6P1/3K4/1bPB4/8/8/8 w - - 3 63,M18
6k1/6p1/6P1/2BK4/2P5/8/3b4/8 w - - 1 62,M21
6k1/6p1/6P1/3KB3/1bP5/8/8/8 b - - 4 63,M19
6k1/6p1/3B2P1/2pK4/2P5/8/5b2/8 b - - 4 60,5934
r1bqkb1r/pppp1ppp/2n5/1B2p3/4n3/5N2/PPPP1PPP/RNBQ1RK1 w kq - 0 5,42
r1bqkb1r/pppp1ppp/2nn4/1B2p3/3P4/5N2/PPP2PPP/RNBQ1RK1 w kq - 1 6,20
r1bqkb1r/ppp2ppp/2pn4/4p3/3P4/5N2/PPP2PPP/RNBQ1RK1 w kq - 0 7,25
r1bqkb1r/pppp1ppp/2n5/1B2p3/3Pn3/5N2/PPP2PPP/RNBQ1RK1 b kq - 0 5,15
r1bqkb1r/pppp1ppp/2Bn4/4p3/3P4/5N2/PPP2PPP/RNBQ1RK1 b kq - 0 6,30
r1bqkb1r/ppp2ppp/2pn4/4P3/8/5N2/PPP2PPP/RNBQ1RK1 b kq - 0 7,30
r1bQkb1r/ppp2ppp/2p5/4Pn2/8/5N2/PPP2PPP/RNB2RK1 b kq - 0 8,18
r1bqkb1r/ppp2ppp/2p5/4Pn2/8/5N2/PPP2PPP/RNBQ1RK1 w kq - 1 8,18
r1bk1b1r/ppp2ppp/2p5/4Pn2/8/5N2/PPP2PPP/RNBR2K1 b - - 1 9,17
r1bk1b1r/ppp2ppp/2p5/4Pn2/8/5N2/PPP2PPP/RNB2RK1 w - - 0 9,22
r1b1kb1r/ppp2ppp/2p5/4Pn2/8/5N2/PPP2PPP/RNBR2K1 w - - 2 10,28
r1b1kb1r/ppp1nppp/2p5/4P3/8/2N2N2/PPP2PPP/R1BR2K1 w - - 4 11,15
r1b1kb1r/ppp2ppp/2p5/4Pn2/8/2N2N2/PPP2PPP/R1BR2K1 b - - 3 10,16
r1b1kb1r/ppp2ppp/2p3n1/4P3/3N4/2N5/PPP2PPP/R1BR2K1 w - - 6 12,13
